ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742244::Owner Path  [read only],1073742126::Name,1075849176::Physical Name
1075838981::316,MarketingType,Attribute,Model_1.MarketingCategory,Marketing Type        ,MarketingType
1075838981::296,MarketingTypeId,Attribute,Model_1.ManufacturerVehicleMake,Marketing Type ID,MarketingTypeID
1075838981::303,ModelID,Attribute,Model_1.ManufacturerVehicleStock,Model ID,ModelID
1075838981::259,Note,Attribute,Model_1.CommonColumnsForTriggerTemplate,Note,Note
1075838981::375,Number,Attribute,Model_1.MarketingCategory,Number,MarketingCategoryID
1075838981::357,OrdinalPosition,Attribute,Model_1.uvw_FindColumnDefinitionPlusDefaultAndCheckConstraint,Ordinal Position,
1075838981::306,PartsCharge,Attribute,Model_1.ManufacturerVehicleStock,Parts Charge,PartsCharge
1075838981::311,PurchaseDate,Attribute,Model_1.ManufacturerVehicleStock,Purchase Date,PurchaseDate
1075838981::305,RepairsCharge,Attribute,Model_1.ManufacturerVehicleStock,Repairs Charge,RepairsCharge
1075838981::258,RowLevelHashKey,Attribute,Model_1.CommonColumnsForTriggerTemplate,Row Level Hash Key,RowLevelHashKey
1075838981::332,SaleDate,Attribute,Model_1.SalesOrderVehicle,Sale Date,SaleDate
1075838981::340,SalePrice,Attribute,Model_1.SalesOrderVehicleDetail,Sale Price,SalePrice
1075838981::335,SalesOrderVehicleDetailId,Attribute,Model_1.SalesOrderVehicleDetail,Sales Order Vehicle Detail ID,SalesOrderVehicleDetailID
1075838981::327,SalesOrderVehicleId,Attribute,Model_1.SalesOrderVehicle,Sales Order Vehicle ID,SalesOrderVehicleID
1075838981::336,SalesOrderVehicleId,Attribute,Model_1.SalesOrderVehicleDetail,Sales Order Vehicle ID,SalesOrderVehicleID
1075838981::270,SalesRegion,Attribute,Model_1.Country,Sales Region,SalesRegion
1075838981::354,SchemaName,Attribute,Model_1.uvw_FindColumnDefinitionPlusDefaultAndCheckConstraint,Schema Name,
1075838981::321,SpendCapacity,Attribute,Model_1.MarketingInformation,Spend Capacity,SpendCapacity
1075838981::329,StaffId,Attribute,Model_1.SalesOrderVehicle,Staff ID,StaffID
1075838981::346,StaffId,Attribute,Model_1.Staff,Staff ID,StaffID
1075838981::347,StaffName,Attribute,Model_1.Staff,Staff Name,StaffName
1075838981::302,StockCode,Attribute,Model_1.ManufacturerVehicleStock,Stock Code,StockCode
1075838981::339,StockCode,Attribute,Model_1.SalesOrderVehicleDetail,Stock Code,StockCode
1075838981::301,StockId,Attribute,Model_1.ManufacturerVehicleStock,Stock ID,StockID
1075838981::338,StockId,Attribute,Model_1.SalesOrderVehicleDetail,Stock ID,StockID
1075838981::264,SysEndTime,Attribute,Model_1.CommonColumnsForTriggerTemplate,Sys End Time,SysEndTime
1075838981::263,SysStartTime,Attribute,Model_1.CommonColumnsForTriggerTemplate,Sys Start Time,SysStartTime
1075838981::355,TableName,Attribute,Model_1.uvw_FindColumnDefinitionPlusDefaultAndCheckConstraint,Table Name,
1075838981::331,TotalSalePrice,Attribute,Model_1.SalesOrderVehicle,Total Sale Price,TotalSalePrice
1075838981::261,TransactionNumber,Attribute,Model_1.CommonColumnsForTriggerTemplate,Transaction Number,TransactionNumber
1075838981::324,UpperThreshold,Attribute,Model_1.SalesCategoryThreshold,Upper Threshold,UpperThreshold
1075838981::262,UserAuthenticatedKey,Attribute,Model_1.CommonColumnsForTriggerTemplate,User Authenticated Key,UserAuthenticatedKey
1075838981::309,VehicleColor,Attribute,Model_1.ManufacturerVehicleStock,Vehicle Color,VehicleColor
