ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742244::Owner Path  [read only],1075849176::Physical Name,1075850088::Column Order  [read only]
"1075838981::401","IsDeleted",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.SalesOrderVehicleDetail","IsDeleted","3"
"1075838981::402","UserAuthorizationID",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.SalesOrderVehicleDetail","UserAuthorizationID","5"
"1075838981::403","SysStartTime",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.SalesOrderVehicleDetail","SysStartTime","6"
"1075838981::404","SysEndTime",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.SalesOrderVehicleDetail","SysEndTime","7"
"1075838981::407","Note",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.ManufacturerVehicleStock","Note","2"
"1075838981::408","IsDeleted",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.ManufacturerVehicleStock","IsDeleted","3"
"1075838981::409","UserAuthorizationID",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.ManufacturerVehicleStock","UserAuthorizationID","5"
"1075838981::410","SysStartTime",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.ManufacturerVehicleStock","SysStartTime","6"
"1075838981::411","SysEndTime",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.ManufacturerVehicleStock","SysEndTime","7"
"1075838981::414","Note",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.ManufacturerVehicleModel","Note","2"
"1075838981::415","IsDeleted",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.ManufacturerVehicleModel","IsDeleted","3"
"1075838981::416","UserAuthorizationID",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.ManufacturerVehicleModel","UserAuthorizationID","5"
"1075838981::417","SysStartTime",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.ManufacturerVehicleModel","SysStartTime","6"
"1075838981::418","SysEndTime",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.ManufacturerVehicleModel","SysEndTime","7"
"1075838981::421","Note",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.SalesOrderVehicle","Note","3"
"1075838981::422","IsDeleted",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.SalesOrderVehicle","IsDeleted","4"
"1075838981::423","UserAuthorizationID",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.SalesOrderVehicle","UserAuthorizationID","6"
"1075838981::424","SysStartTime",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.SalesOrderVehicle","SysStartTime","7"
"1075838981::425","SysEndTime",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.SalesOrderVehicle","SysEndTime","8"
"1075838981::428","Note",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.Country","Note","2"
"1075838981::429","IsDeleted",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.Country","IsDeleted","3"
"1075838981::430","UserAuthorizationID",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.Country","UserAuthorizationID","5"
"1075838981::431","SysStartTime",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.Country","SysStartTime","6"
"1075838981::432","SysEndTime",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.Country","SysEndTime","7"
"1075838981::435","Note",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.Staff","Note","2"
"1075838981::436","IsDeleted",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.Staff","IsDeleted","3"
"1075838981::437","UserAuthorizationID",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.Staff","UserAuthorizationID","5"
"1075838981::438","SysStartTime",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.Staff","SysStartTime","6"
"1075838981::439","SysEndTime",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.Staff","SysEndTime","7"
"1075838981::442","Note",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.Customer","Note","2"
"1075838981::443","IsDeleted",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.Customer","IsDeleted","3"
"1075838981::444","UserAuthorizationID",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.Customer","UserAuthorizationID","5"
"1075838981::445","SysStartTime",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.Customer","SysStartTime","6"
"1075838981::446","SysEndTime",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.Customer","SysEndTime","7"
"1075838981::519","DepartmentID",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.Department","DepartmentID","1"
"1075838981::601","ClassTime",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.UserAuthorization","ClassTime","2"
"1075838981::602","GroupProjectName",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.UserAuthorization","GroupProjectName","4"
"1075838981::603","DateAdded",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.UserAuthorization","DateAdded","7"
"1075838981::613","UserAuthorizationId",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.UserAuthorization","UserAuthorizationId","1"
"1075838981::615","GroupMemberLastName",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.UserAuthorization","GroupMemberLastName","5"
"1075838981::618","GroupMemberFirstName",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.UserAuthorization","GroupMemberFirstName","6"
"1075838981::619","GroupName",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.UserAuthorization","GroupName","3"
"1075838981::620","DateOfLastUpdate",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.UserAuthorization","DateOfLastUpdate","8"
"1075838981::625","Note",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.ManufacturerVehicleMake","Note","2"
"1075838981::626","IsDeleted",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.ManufacturerVehicleMake","IsDeleted","3"
"1075838981::628","UserAuthorizationID",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.ManufacturerVehicleMake","UserAuthorizationID","5"
"1075838981::629","SysStartTime",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.ManufacturerVehicleMake","SysStartTime","6"
"1075838981::631","SysEndTime",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.ManufacturerVehicleMake","SysEndTime","7"
"1075838981::668","SalesOrderCategoryDescription",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.SalesOrderVehicle","SalesOrderCategoryDescription","2"
"1075838981::671","ManufacturerMarketingCategoryID",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.ManufacturerMarketingCategory","ManufacturerMarketingCategoryID","1"
"1075838981::674","ManufacturerVehicleMarketingCategoryID",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.ManufacturerVehicleMake","ManufacturerVehicleMarketingCategoryID","9"
"1075838981::676","ManufacturerVehicleMarketingType",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.ManufacturerMarketingCategory","ManufacturerVehicleMarketingType","2"
"1075838981::681","ManufacturerVehicleModelID",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.ManufacturerVehicleModel","ManufacturerVehicleModelID","1"
"1075838981::684","ManufacturerVehicleModelID",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.ManufacturerVehicleStock","ManufacturerVehicleModelID","8"
"1075838981::733","DepartmentID",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.Staff","DepartmentID","9"
"1075838981::756","CountryID",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.Country","CountryID","1"
"1075838981::759","CountryID",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.Customer","CountryID","8"
"1075838981::762","CountryID",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.ManufacturerVehicleMake","CountryID","8"
"1075838981::764","CountryISO3",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.Country","CountryISO3","10"
"1075838981::766","CountryName",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.Country","CountryName","11"
"1075838981::768","CountryISO2",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.Country","CountryISO2","9"
"1075838981::769","SalesRegion",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.Country","SalesRegion","8"
"1075838981::770","CustomerID",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.Customer","CustomerID","1"
"1075838981::773","CustomerID",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.SalesOrderVehicle","CustomerID","10"
"1075838981::775","CustomerAddress1",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.Customer","CustomerAddress1","12"
"1075838981::776","CustomerAddress2",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.Customer","CustomerAddress2","13"
"1075838981::777","CustomerTown",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.Customer","CustomerTown","15"
"1075838981::780","CustomerPostalCode",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.Customer","CustomerPostalCode","14"
"1075838981::783","IsCustomerReseller",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.Customer","IsCustomerReseller","10"
"1075838981::786","IsCustomerCreditRisk",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.Customer","IsCustomerCreditRisk","11"
"1075838981::789","ManufacturerVehicleModelName",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.ManufacturerVehicleModel","ManufacturerVehicleModelName","9"
"1075838981::792","ManufacturerVehicleModelVariant",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.ManufacturerVehicleModel","ManufacturerVehicleModelVariant","10"
"1075838981::795","ManufacturerVehicleMakeID",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.ManufacturerVehicleMake","ManufacturerVehicleMakeID","1"
"1075838981::798","ManufacturerVehicleMakeID",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.ManufacturerVehicleModel","ManufacturerVehicleMakeID","8"
"1075838981::800","ManufacturerVehicleMakeName",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.ManufacturerVehicleMake","ManufacturerVehicleMakeName","10"
"1075838981::803","ManufacturerVehicleStockID",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.ManufacturerVehicleStock","ManufacturerVehicleStockID","1"
"1075838981::806","ManufacturerVehicleStockID",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.SalesOrderVehicleDetail","ManufacturerVehicleStockID","8"
"1075838981::808","StockCode",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.ManufacturerVehicleStock","StockCode","16"
"1075838981::811","Cost",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.ManufacturerVehicleStock","Cost","9"
"1075838981::814","RepairsCharge",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.ManufacturerVehicleStock","RepairsCharge","10"
"1075838981::817","PartsCharge",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.ManufacturerVehicleStock","PartsCharge","11"
"1075838981::820","DeliveryCharge",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.ManufacturerVehicleStock","DeliveryCharge","12"
"1075838981::823","IsPremiumRoadHandlingPackage",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.ManufacturerVehicleStock","IsPremiumRoadHandlingPackage","13"
"1075838981::826","VehicleColor",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.ManufacturerVehicleStock","VehicleColor","17"
"1075838981::828","CustomerComments",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.ManufacturerVehicleStock","CustomerComments","15"
"1075838981::831","PurchaseDate",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.ManufacturerVehicleStock","PurchaseDate","14"
"1075838981::834","LowerThreshold",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.SalesCategoryThreshold","LowerThreshold","2"
"1075838981::837","UpperThreshold",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.SalesCategoryThreshold","UpperThreshold","3"
"1075838981::840","CategoryDescription",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.SalesCategoryThreshold","CategoryDescription","4"
"1075838981::843","SalesOrderVehicleID",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.SalesOrderVehicle","SalesOrderVehicleID","1"
"1075838981::846","SalesOrderVehicleID",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.SalesOrderVehicleDetail","SalesOrderVehicleID","9"
"1075838981::848","InvoiceNumber",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.SalesOrderVehicle","InvoiceNumber","14"
"1075838981::851","TotalSalePrice",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.SalesOrderVehicle","TotalSalePrice","12"
"1075838981::854","SaleDate",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.SalesOrderVehicle","SaleDate","13"
"1075838981::857","SalesOrderVehicleDetailID",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.SalesOrderVehicleDetail","SalesOrderVehicleDetailID","1"
"1075838981::859","StockCode",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.SalesOrderVehicleDetail","StockCode","14"
"1075838981::862","SalePrice",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.SalesOrderVehicleDetail","SalePrice","10"
"1075838981::865","LineItemDiscount",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.SalesOrderVehicleDetail","LineItemDiscount","11"
"1075838981::868","DerivedDiscountedSalePrice",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.SalesOrderVehicleDetail","DerivedDiscountedSalePrice","12"
"1075838981::870","StaffID",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.Staff","StaffID","1"
"1075838981::873","StaffID",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.SalesOrderVehicle","StaffID","11"
"1075838981::875","StaffName",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.Staff","StaffName","10"
"1075838981::878","ManagerID",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.Staff","ManagerID","8"
"1075838981::879","SalesCategoryThresholdID",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.SalesCategoryThreshold","SalesCategoryThresholdID","1"
"1075838981::882","SalesCategoryThresholdID",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.SalesOrderVehicle","SalesCategoryThresholdID","9"
"1075838981::884","CustomerExpenditureClassificationID",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.CustomerExpenditureClassification","CustomerExpenditureClassificationID","1"
"1075838981::887","CustomerExpenditureClassificationID",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.Customer","CustomerExpenditureClassificationID","9"
"1075838981::902","TransactionNumber",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.SalesOrderVehicleDetail","TransactionNumber","4"
"1075838981::903","TransactionNumber",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.ManufacturerVehicleStock","TransactionNumber","4"
"1075838981::904","TransactionNumber",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.ManufacturerVehicleModel","TransactionNumber","4"
"1075838981::905","TransactionNumber",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.SalesOrderVehicle","TransactionNumber","5"
"1075838981::906","TransactionNumber",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.Country","TransactionNumber","4"
"1075838981::907","TransactionNumber",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.Staff","TransactionNumber","4"
"1075838981::908","TransactionNumber",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.Customer","TransactionNumber","4"
"1075838981::941","DepartmentName",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.Department","DepartmentName","2"
"1075838981::952","CustomerExpenditureClassifier",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.CustomerExpenditureClassification","CustomerExpenditureClassifier","2"
"1075838981::957","TransactionNumber",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.ManufacturerVehicleMake","TransactionNumber","4"
"1075838981::980","CustomerName",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.Customer","CustomerName","16"
"1075838981::983","LineItemNumber",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.SalesOrderVehicleDetail","LineItemNumber","13"
