ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742244::Owner Path  [read only],1073742125::Definition,1073742126::Name,1075850008::Update Attribute Definition to Match,1075850303::Attribute Definition
1075838983::389,SysEndTime,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,Date and time object used for database auditting purposes.,SysEndTime,,Date and time object used for database auditting purposes.
1075838983::390,AuditFlag,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,Character object representative of a boolean flag used only for database auditting purposes.,AuditFlag,,Character object representative of a boolean flag used only for database auditting purposes.
1075838983::449,sdFlagBit,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,Subdomain for integer values representative of a boolean flag.,sdFlagBit,,Subdomain for integer values representative of a boolean flag.
1075838983::452,FlagFalse,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,Integer flag value which is used to indicate or describe a piece of information to be false.,FlagFalse,,Integer flag value which is used to indicate or describe a piece of information to be false.
1075838983::455,sdAddressesString,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,The subdomain for string data types relating to a persons address.,sdAddressesString,,The subdomain for string data types relating to a persons address.
1075838983::456,AddressString,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,Represents the house number and street value/name portion of a persons address.,AddressString,,Represents the house number and street value/name portion of a persons address.
1075838983::457,PostalCodeString,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,Represents the postal code value portion of an address.,PostalCodeString,,Represents the postal code value portion of an address.
1075838983::458,TownString,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,Represents the city/town portion of an address.,TownString,,Represents the city/town portion of an address.
1075838983::483,sdCountryStringVariants,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,Subdomain for the variation of country descriptors.,sdCountryStringVariants,,Subdomain for the variation of country descriptors.
1075838983::484,CountryISO2,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,Two character object which can only be comprised of letter values and supplies a country code to represent the name of a country.,CountryISO2,,Two character object which can only be comprised of letter values and supplies a country code to represent the name of a country.
1075838983::485,CountryISO3,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,Three character object which can only be comprised of letter values and supplies a country code to represent the name of a country.,CountryISO3,,Three character object which can only be comprised of letter values and supplies a country code to represent the name of a country.
1075838983::486,CountryString,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,Character object representing the name of a country.,CountryString,,Character object representing the name of a country.
1075838983::488,RegionString,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,Character object rerpresenting the name of a Region.,RegionString,,Character object rerpresenting the name of a Region.
1075838983::521,sdBusinessComponentsString,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,Subdomain for objects relating to objects that facilitate the business.,sdBusinessComponentsString,,Subdomain for objects relating to objects that facilitate the business.
1075838983::522,DepartmentString,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,Character object which is used to describe the names of departments within the European Car Manufacturer Business.,DepartmentString,,Character object which is used to describe the names of departments within the European Car Manufacturer Business.
1075838983::554,sdOrdinalNumber,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,Subdomain for integer objects used in the database to specify a position for their respective row.,sdOrdinalNumber,,Subdomain for integer objects used in the database to specify a position for their respective row.
1075838983::565,CustomerComments,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,Large text object used to describe comments or reviews by customers about a particular vehicle,CustomerComments,,Large text object used to describe comments or reviews by customers about a particular vehicle
1075838983::568,VehicleSalesThresholdCategory,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,Numerical object to categorize vehicles based on their sale price.,VehicleSalesThresholdCategory,,Numerical object to categorize vehicles based on their sale price.
1075838983::585,DateAdded,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,Similar to SysStartTime object.,DateAdded,,Similar to SysStartTime object.
1075838983::586,sdPersonNameString,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,Subdomain for character objects representing the name of a person.,sdPersonNameString,,Subdomain for character objects representing the name of a person.
1075838983::589,sdTimeString,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,Subdomain for string objects representing a time value,sdTimeString,,Subdomain for string objects representing a time value
1075838983::592,ClassTimeString,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,"String object representing our class time, used for database auditting purposes.",ClassTimeString,,"String object representing our class time, used for database auditting purposes."
1075838983::594,sdProjectString,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,Subdomain for character objects relating to the final project itself.,sdProjectString,,Subdomain for character objects relating to the final project itself.
1075838983::597,GrouplProjectNameString,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,Character object representing the name of our project.,GrouplProjectNameString,,Character object representing the name of our project.
1075838983::607,DateOfLastUpdate,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,Similar to SysEndTime Object.,DateOfLastUpdate,,Similar to SysEndTime Object.
1075838983::608,FirstNameString,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,Character object representing the first name of a person.,FirstNameString,,Character object representing the first name of a person.
1075838983::610,LastNameString,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,Character object representing the last name of a person.,LastNameString,,Character object representing the last name of a person.
1075838983::634,sdCustomerString,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,Subdomain representing character objects which are used to describe a Customer.,sdCustomerString,,Subdomain representing character objects which are used to describe a Customer.
1075838983::643,FullNameString,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,Character object representing both first and last name of a person.,FullNameString,,Character object representing both first and last name of a person.
1075838983::651,VehicleManufacturerMarketingType,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,Character object that is used to categorize the Make of a Vehicle based on the types of cars that are offered in their line up.,VehicleManufacturerMarketingType,,Character object that is used to categorize the Make of a Vehicle based on the types of cars that are offered in their line up.
1075838983::889,TransactionNumber,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,Integer object that used to determine the amount of times a row has been auditted.,TransactionNumber,,Integer object that used to determine the amount of times a row has been auditted.
1075838983::891,LineItemNumber,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,Integer object that indicates the position of a repeating invoice number in the SalesOrderVehicleDetails table,LineItemNumber,,Integer object that indicates the position of a repeating invoice number in the SalesOrderVehicleDetails table
1075838983::909,CustomerName,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,"Object that describes the name of a Customer, (name can either represent a person or business )",CustomerName,,"Object that describes the name of a Customer, (name can either represent a person or business )"
1075838983::911,CustomerSpendCapacity,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,"Integer object relating to the amount of money a Customer has spent, also used to categorize Customers based on how much they spend.",CustomerSpendCapacity,,"Integer object relating to the amount of money a Customer has spent, also used to categorize Customers based on how much they spend."
